Phase,Version,Frames,Speed,Avg FPS,Min FPS,Max FPS,Avg ms,Max ms,Min ms,Δ vs prev (%),Note
baseline,V0.20.11-PF,600,5x,10,2,38,100.0,606.2,26.4,—,Russia vs China 2022 scenario
1.1,V0.20.12-PF,646,5x,11,1,65,92.9,698.5,15.3,-7.1%,Object.create instead of new Map() in occupancy smoothing
1.2,V0.20.13-PF,628,5x,10,2,44,95.6,438.8,22.6,+2.9%,Removed dead activeTargetPos allocation
1.3,V0.20.14-PF,633,5x,11,2,38,94.8,419.2,26.1,-0.8%,Precomputed sovereign unit counts replacing 2x units.filter() per country
1.4,V0.20.15-PF,642,5x,11,2,39,93.5,418.1,25.7,-1.4%,Replaced O(N^2) units.filter().indexOf() garrison with per-sovereign counters
1.5,V0.20.16-PF,652,5x,11,2,40,92.2,427.3,25.1,-1.4%,Removed per-iteration array allocation in pathfinding angle sweep
1.6,V0.20.17-PF,653,5x,11,1,37,91.9,929.3,27.1,-0.3%,Read cached territory pcts from sim tick instead of renderer full-grid scan
2.1,V0.20.22-PF,645,5x,11,2,43,93.2,446.0,23.5,-0.6%,Reusable persistent Maps/Sets via .clear() for 12 per-tick allocations
2.2,V0.20.23-PF,641,5x,11,2,34,93.7,420.9,29.6,+0.5%,Single-pass unitsBySide build replacing N-pass units.filter()
2.3,V0.20.24-PF,611,5x,10,2,43,98.3,529.1,23.5,+4.9%,Spatial hash for encirclement scan (possible noise)
2.3-fix,V0.20.25-PF,636,5x,11,2,36,94.4,441.8,27.5,+1.3%,Reverted spatial hash + throttle + reduced samples (still worse, reverting)
